tahun,bulan,benua,region,nama_negara,nilai_impor
2005,"Februari","Asia dan Timur Tengah","Asia dan Timur Tengah Lainnya","Asia dan Timur Tengah Lainnya",140723
2005,"Februari","Australia dan Oceania","Australia","Australia",208522
2005,"Februari","Australia dan Oceania","New Zealand","New Zealand",29505
2005,"Februari","Afrika","Afrika Selatan","Afrika Selatan",16932
2005,"Februari","Afrika","Afrika Lainnya","Afrika lainnya",79653
2005,"Februari","Keterangan Lainnya","Keterangan Lainnya","Impor yang tidak dapat diklasifikasikan  2)",36000
2005,"Februari","Keterangan Lainnya","Keterangan Lainnya","Asuransi dan ongkos pengangkutan",508235
2005,"Maret","Amerika","Amerika Utara","Amerika Serikat",378104
2005,"Maret","Amerika","Amerika Utara","Kanada",61072
2005,"Maret","Amerika","Amerika Tengah dan Selatan","Argentina",44835
2005,"Maret","Amerika","Amerika Tengah dan Selatan","Brasil",36146
2005,"Maret","Amerika","Amerika Tengah dan Selatan","Meksiko",2021
2005,"Maret","Amerika","Amerika Tengah dan Selatan","Amerika Tengah dan Selatan lainnya",15003
2005,"Maret","Eropa","Uni Eropa","Belanda",35634
2005,"Maret","Eropa","Uni Eropa","Belgia",28731
2005,"Maret","Eropa","Uni Eropa","Inggris",50981
2005,"Maret","Eropa","Uni Eropa","Italia",48869
2005,"Maret","Eropa","Uni Eropa","Jerman",231408
2005,"Maret","Eropa","Uni Eropa","Perancis",48987
2005,"Maret","Eropa","Uni Eropa","Spanyol",19111
2005,"Maret","Eropa","Uni Eropa","Uni Eropa lainnya ",126551
2005,"Maret","Eropa","Rusia","Rusia",57485
2005,"Maret","Eropa","Turki","Turki",6849
2005,"Maret","Eropa","Eropa Lainnya","Eropa lainnya",90882
2005,"Maret","Asia dan Timur Tengah","ASEAN","Brunei Darussalam",161926
2005,"Maret","Asia dan Timur Tengah","ASEAN","Filipina",42594
2005,"Maret","Asia dan Timur Tengah","ASEAN","Kamboja",11
2005,"Maret","Asia dan Timur Tengah","ASEAN","Laos",0
2005,"Maret","Asia dan Timur Tengah","ASEAN","Malaysia",255523
